Model,CV Mean Accuracy,Test Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.783709248497981,0.7932960893854749,0.7666666666666667,0.6666666666666666,0.7131782945736435,0.8387351778656126
Random Forest,0.8300206835418102,0.8044692737430168,0.84,0.6086956521739131,0.7058823529411765,0.8404479578392622
